"분류ID","분류","유형ID","유형","가능여부","유형조합수Nc","전체관측","전체회차수","전체관측비율","공정유형확률","이론기대관측","관측대이론비율","전체Wilson하한","전체Wilson상한","전체Wilson폭","최근관측","최근회차수","모형유형확률","모형특정1조합확률","공정특정1조합확률","최근Wilson하한","최근Wilson상한","최근Wilson폭","추정대상회차","해석"
"adjacent_pairs","인접 연속번호 쌍","5","5쌍","true","40","0","522","0","0.000004910952159959534","0.002563517027498877","0","0","0.007305355552050563","0.007305355552050563","0","156","0.000002455476079979767","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"last_digit_distinct","끝자리 종류 개수","1","1종류","false","0","0","522","0","0","0","","","","","0","156","0","","1.2277380399898834e-7","","","","1242","실험 추정; 미래 우월성 미확인"
"last_digit_distinct","끝자리 종류 개수","2","2종류","true","4480","0","522","0","0.0005500266419154677","0.28711390707987416","0","0","0.007305355552050563","0.007305355552050563","0","156","0.00027501332095773386","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"last_digit_distinct","끝자리 종류 개수","3","3종류","true","259400","21","522","0.040229885057471264","0.03184752475733758","16.624407923330214","1.2632028819822934","0.026461155129658156","0.06071618330900902","0.03425502817935087","6","156","0.03515453160943802","1.3552248114663846e-7","1.2277380399898834e-7","0.0177444321590843","0.08136288916776027","0.06361845700867597","1242","실험 추정; 미래 우월성 미확인"
"last_digit_distinct","끝자리 종류 개수","4","4종류","true","2124400","152","522","0.29118773946360155","0.26082066921545083","136.14838933046533","1.1164289254356066","0.2538527488510691","0.3315736256898256","0.07772087683875645","39","156","0.2554103346077254","1.2022704509872218e-7","1.2277380399898834e-7","0.1886118419574106","0.3234046237612968","0.1347927818038862","1242","실험 추정; 미래 우월성 미확인"
"last_digit_distinct","끝자리 종류 개수","5","5종류","true","4048680","238","522","0.4559386973180077","0.4970718447746241","259.4715029723538","0.9172490900681238","0.41368993491065165","0.4988312266897207","0.08514129177906898","74","156","0.48571540956679915","1.1996883170979162e-7","1.2277380399898834e-7","0.39756194963628044","0.5523884571040997","0.15482650746781923","1242","실험 추정; 미래 우월성 미확인"
"last_digit_distinct","끝자리 종류 개수","6","6종류","true","1708100","111","522","0.21264367816091953","0.209709934610672","109.46858586677078","1.0139895306137692","0.17970699693999745","0.2497788395841695","0.07007184264417204","37","156","0.2234447108950796","1.3081477132198326e-7","1.2277380399898834e-7","0.17725337497525034","0.3097382941136472","0.1324849191383968","1242","실험 추정; 미래 우월성 미확인"
"prime_count","소수 개수","0","0개","true","736281","48","522","0.09195402298850575","0.09039601918217914","47.18672201309751","1.0172353143470476","0.07005780625842065","0.11981208160589646","0.04975427534747582","10","156","0.07724929164237161","1.049182195960124e-7","1.2277380399898834e-7","0.03518858274470879","0.1139683318417555","0.07877974909704671","1242","실험 추정; 미래 우월성 미확인"
"prime_count","소수 개수","1","1개","true","2378754","159","522","0.3045977011494253","0.29204867735780954","152.44940958077657","1.0429689458111844","0.26666221852128863","0.34538815031514497","0.07872593179385634","49","156","0.30307562073018685","1.2740940035421353e-7","1.2277380399898834e-7","0.2464753823982812","0.3906650664694756","0.1441896840711944","1242","실험 추정; 미래 우월성 미확인"
"prime_count","소수 개수","2","2개","true","2863315","182","522","0.3486590038314176","0.3515400745973633","183.50391893982365","0.9918044314883715","0.309018577237155","0.3905106299989063","0.08149205276175127","59","156","0.3648726014012458","1.27430129553069e-7","1.2277380399898834e-7","0.30589727453418103","0.456367157482625","0.15046988294844404","1242","실험 추정; 미래 우월성 미확인"
"prime_count","소수 개수","3","3개","true","1636180","99","522","0.1896551724137931","0.20088004262706474","104.8593822513278","0.9441215261283536","0.15833855178625678","0.2255061516598435","0.06716759987358675","27","156","0.18697848285199392","1.1427745287926384e-7","1.2277380399898834e-7","0.12176158914263831","0.2401060967972099","0.11834450765457158","1242","실험 추정; 미래 우월성 미확인"
"prime_count","소수 개수","4","4개","true","465465","31","522","0.05938697318007663","0.05714690867838911","29.830686330119118","1.0391983495431771","0.0421500207531966","0.08306159525052612","0.04091157449732952","11","156","0.06382986459560482","1.3713139461743594e-7","1.2277380399898834e-7","0.03982640176459421","0.12184291113677503","0.08201650937218082","1242","실험 추정; 미래 우월성 미확인"
"prime_count","소수 개수","5","5개","true","62062","3","522","0.005747126436781609","0.007619587823785214","3.9774248440158817","0.7542568666039189","0.001956426716828272","0.016759212104738953","0.01480278538791068","0","156","0.003809793911892607","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"prime_count","소수 개수","6","6개","true","3003","0","522","0","0.000368689733408962","0.19245604083947815","0","0","0.007305355552050563","0.007305355552050563","0","156","0.000184344866704481","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,0,1,5","0 · 0 · 0 · 1 · 5","true","10","0","522","0","0.0000012277380399898835","0.0006408792568747192","0","0","0.007305355552050563","0.007305355552050563","0","156","6.138690199949418e-7","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,0,2,4","0 · 0 · 0 · 2 · 4","true","225","0","522","0","0.00002762410589977238","0.014419783279681181","0","0","0.007305355552050563","0.007305355552050563","0","156","0.00001381205294988619","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,0,3,3","0 · 0 · 0 · 3 · 3","true","1200","0","522","0","0.000147328564798786","0.0769055108249663","0","0","0.007305355552050563","0.007305355552050563","0","156","0.000073664282399393","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
