"회차","추첨일","본번호1","본번호2","본번호3","본번호4","본번호5","본번호6","공식1등집계","번호합계","최대최소차","홀수 개수","22 이하 번호 개수","여섯 번호 합계","인접 연속번호 쌍","끝자리 종류 개수","소수 개수","번호 구간별 개수","최댓값−최솟값","합계 × 홀수 × 연속쌍","합계 × 홀수 × 저번호"
"1200","2025-11-29","1","2","4","16","20","32","12","75","31","1개","5개","21~89","1쌍","5종류","1개","3 · 2 · 0 · 1 · 0","30~39","합계 21~89 / 홀수 1 / 연속쌍 1","합계 21~89 / 홀수 1 / 22이하 5"
"1201","2025-12-06","7","9","24","27","35","36","19","138","29","4개","2개","120~149","1쌍","5종류","1개","2 · 0 · 2 · 2 · 0","20~29","합계 120~149 / 홀수 4 / 연속쌍 1","합계 120~149 / 홀수 4 / 22이하 2"
"1202","2025-12-13","5","12","21","33","37","40","14","148","35","4개","3개","120~149","0쌍","6종류","2개","1 · 1 · 1 · 3 · 0","30~39","합계 120~149 / 홀수 4 / 연속쌍 0","합계 120~149 / 홀수 4 / 22이하 3"
"1203","2025-12-20","3","6","18","29","35","39","21","130","36","4개","3개","120~149","0쌍","5종류","2개","2 · 1 · 1 · 2 · 0","30~39","합계 120~149 / 홀수 4 / 연속쌍 0","합계 120~149 / 홀수 4 / 22이하 3"
"1204","2025-12-27","8","16","28","30","31","44","18","157","36","1개","2개","150~179","1쌍","5종류","1개","1 · 1 · 2 · 1 · 1","30~39","합계 150~179 / 홀수 1 / 연속쌍 1","합계 150~179 / 홀수 1 / 22이하 2"
"1205","2026-01-03","1","4","16","23","31","41","10","116","40","4개","3개","90~119","0쌍","4종류","3개","2 · 1 · 1 · 1 · 1","40~44","합계 90~119 / 홀수 4 / 연속쌍 0","합계 90~119 / 홀수 4 / 22이하 3"
"1206","2026-01-10","1","3","17","26","27","42","15","116","41","4개","3개","90~119","1쌍","5종류","2개","2 · 1 · 2 · 0 · 1","40~44","합계 90~119 / 홀수 4 / 연속쌍 1","합계 90~119 / 홀수 4 / 22이하 3"
"1207","2026-01-17","10","22","24","27","38","45","17","166","35","2개","2개","150~179","0쌍","6종류","0개","1 · 0 · 3 · 1 · 1","30~39","합계 150~179 / 홀수 2 / 연속쌍 0","합계 150~179 / 홀수 2 / 22이하 2"
"1208","2026-01-24","6","27","30","36","38","42","6","179","36","1개","1개","150~179","0쌍","5종류","0개","1 · 0 · 2 · 2 · 1","30~39","합계 150~179 / 홀수 1 / 연속쌍 0","합계 150~179 / 홀수 1 / 22이하 1"
"1209","2026-01-31","2","17","20","35","37","39","22","150","37","4개","3개","150~179","0쌍","5종류","3개","1 · 2 · 0 · 3 · 0","30~39","합계 150~179 / 홀수 4 / 연속쌍 0","합계 150~179 / 홀수 4 / 22이하 3"
"1210","2026-02-07","1","7","9","17","27","38","24","99","37","5개","4개","90~119","0쌍","4종류","2개","3 · 1 · 1 · 1 · 0","30~39","합계 90~119 / 홀수 5 / 연속쌍 0","합계 90~119 / 홀수 5 / 22이하 4"
"1211","2026-02-14","23","26","27","35","38","40","14","189","17","3개","0개","180~255","1쌍","6종류","1개","0 · 0 · 3 · 3 · 0","0~19","합계 180~255 / 홀수 3 / 연속쌍 1","합계 180~255 / 홀수 3 / 22이하 0"
"1212","2026-02-21","5","8","25","31","41","44","12","154","39","4개","2개","150~179","0쌍","4종류","3개","2 · 0 · 1 · 1 · 2","30~39","합계 150~179 / 홀수 4 / 연속쌍 0","합계 150~179 / 홀수 4 / 22이하 2"
